Cell,MEK,Tot_Prot,MEK_Norm,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66
14,662.4741452,2151.679169,0.307887047,0.000364839,-0.003241025,0.006106958,0.014606521,-0.001370885,-0.006056914,0.000476084,-0.007848154,-0.010775336,0.007737912,0.010284477,0.011270172,0.007635538,-0.121277473,0.026784722,-0.092217752,-0.001921193,-0.092195008,0.006522536,0.0234312,0.003979761,0.023716602,-0.13967104,-0.117856245,-0.123023446,-0.121865183,0.009663606,0.015513712,0.004443725,-0.101960047,0.008358024,-0.129527524,-0.129086438,-0.138622273
15,612.4352559,1899.387721,0.322438252,-0.0067188,-0.00380176,0.008356593,-0.005913443,0.00094247,-0.001579466,0.014044571,-0.01390602,-0.000456381,0.009032236,0.023651771,0.028728581,0.00889151,-0.046919017,0.022223369,-0.01760458,0.012561044,0.005946375,0.052539573,0.095713668,0.136749459,0.160801617,0.155247207,0.19138073,0.254968186,0.329129772,0.449632843,0.466159954,0.481036863,0.379508499,0.478279894,0.357782023,0.410051864,0.344785902
16,607.3649462,1678.501449,0.361849522,0.009005962,0.003728278,-0.012074866,0.005138701,-0.015446493,0.012117954,0.003953298,-0.032712564,-0.004972471,0.0312622,0.046054111,0.029382899,0.030393264,0.014580821,0.078090567,0.094786523,0.127175053,0.191169534,0.232283848,0.357091004,0.41162568,0.46486516,0.407133157,0.386385872,0.397421736,0.413976574,0.495065811,0.47548282,0.426948868,0.356354529,0.419702945,0.393973688,0.36440434,0.348470493
17,608.0579366,2054.572916,0.295953447,-0.007134765,0.00427233,-0.003997809,-0.019161263,-0.004878156,-0.003278892,-0.013916587,-0.004666069,0.024292134,0.028469078,0.014017986,0.017440688,0.031551852,-0.064948629,0.05121431,-0.004793544,0.045864428,-0.027406684,0.059459463,0.064096721,0.07315795,0.095151312,0.014403061,0.01492292,0.036622646,0.065484095,0.153548981,0.161005599,0.204525469,0.06987887,0.211858553,0.110741562,0.115876122,0.176285512
18,604.9425776,1709.971049,0.353773579,-0.013813037,-0.007269475,-0.000332051,0.001443605,-0.00413896,0.008759554,-0.004593224,0.006737069,-0.00347894,0.016685458,-0.002002257,-0.009169078,0.026798121,-0.162928491,0.02057488,-0.128882658,0.012961374,-0.199615824,-0.005778614,0.008377724,0.026062128,0.015873896,-0.224164837,-0.199538617,-0.178117335,-0.219706965,0.022583074,0.024599338,0.018242266,-0.202822276,0.034433378,-0.217012329,-0.19534225,-0.173929295
19,636.7333135,1870.10845,0.340479352,-0.008858885,0.004773855,-0.017759847,-0.018281299,0.00125719,0.006745676,0.004736325,-0.018203395,-0.004279764,0.049870146,0.060227767,0.068262031,0.146864181,0.173176563,0.393449964,0.300721823,0.424775439,0.311668166,0.426925088,0.447703606,0.415357723,0.446476731,0.268077384,0.274873262,0.304680901,0.343526149,0.414941789,0.406361845,0.415349566,0.280736966,0.414734337,0.311090357,0.276222841,0.230519067
20,562.2394247,1599.719874,0.351461174,0.000539557,0.006343431,-0.004328954,-0.018574205,0.017493214,-0.027286098,-0.023340752,-0.006372366,0.014788839,0.040737333,-0.002329474,0.025844918,0.028453334,0.087581758,0.012580968,0.008413698,-0.012521262,0.021807894,-0.027405847,0.007825841,-0.020157243,0.00197042,0.019870638,0.062779383,0.062027999,0.082892528,0.113113995,0.157476974,0.155046872,0.198831708,0.300306028,0.309359485,0.436042396,0.378449957
21,773.1811534,2653.882868,0.291339593,0.007567831,-0.006371896,-0.013809634,-0.002604761,-0.015315635,0.006507914,0.002141744,-0.018314608,0.008698651,0.031500393,0.020647273,0.032278797,0.028192336,-0.094231604,0.028442438,-0.048315811,0.039197118,-0.073603168,0.060014523,0.083800796,0.111090526,0.135679171,0.02950058,0.047626234,0.056640564,0.101518919,0.26771679,0.290134783,0.299591537,0.170201397,0.338603054,0.162266597,0.197565263,0.192873229
22,823.1411932,2849.673293,0.288854584,-0.002357458,0.008017097,0.00153556,-0.001017694,0.002724352,-0.000656083,-0.003600774,-0.013570892,-0.001636517,0.010562411,0.003201483,0.002361681,-0.010210763,-0.129778575,-0.006123055,-0.09450648,-0.02842475,-0.15054445,-0.016799266,-0.010610449,-0.012254776,-0.006810721,-0.1198668,-0.115984662,-0.115868342,-0.085018001,-0.000150243,-0.005381254,0.012830915,-0.095162493,0.005978537,-0.106411517,-0.102836772,-0.072930119
23,714.7607045,1749.198588,0.408621817,0.04297535,0.026657392,-0.008622547,0.021831772,-0.008675139,-0.011740499,-0.020083243,-0.032998687,-0.002318763,-0.007025637,0.086473919,0.274559086,0.410201083,0.442724044,0.463565903,0.473888196,0.429367043,0.46721421,0.393755077,0.393709759,0.401616401,0.379471334,0.340682367,0.365143804,0.369543539,0.35228951,0.375261098,0.370423893,0.397276816,0.406391105,0.391697294,0.420005223,0.385983312,0.394536705
24,490.5902597,1085.049764,0.452136184,-0.001726367,0.00158777,-0.015384173,0.003665876,0.005635277,0.011034489,0.0156406,-0.030704902,-0.003480309,0.013731738,2.96E-05,0.025287445,-0.00333472,0.04048231,0.016073926,0.023408466,-0.0059511,0.064119938,0.005353879,0.004876861,0.02700729,0.025232411,0.055616667,0.079231763,0.011712538,0.057381673,0.006228956,0.003756293,0.014811792,0.0337478,-0.000447219,0.055217576,0.031846303,0.103207925
25,633.4594248,1513.836335,0.41844644,-0.014279658,-0.012394496,0.095748895,0.034047939,0.016816354,0.002843761,0.035311952,-0.040198325,-0.047818606,-0.070077817,-0.091836951,-0.127475111,-0.101617628,-0.095762456,-0.142447005,-0.18396697,-0.181077255,-0.155005517,-0.222301419,-0.173211395,-0.172707628,-0.111905652,-0.194565606,-0.213513813,-0.20788111,-0.204001348,-0.195686664,-0.175901127,-0.026048761,-0.096907639,-0.131782928,-0.159588215,-0.241668698,-0.236880346
26,613.0604094,1300.665354,0.471343692,-0.009185007,0.000129121,0.004947823,-0.005695025,0.006906728,-0.00404467,-0.005273461,-0.027872674,0.011143776,0.02894339,0.031556876,0.016776285,0.031077394,0.115915203,0.046240837,0.066885602,0.021471191,0.090876242,0.029772246,0.004457046,0.010779216,0.012384183,0.064404874,0.052885432,0.06211914,0.068194618,-0.010599588,-0.049825093,-0.069327547,0.033970557,-0.036865344,0.061396835,0.080088639,0.032923785
27,621.6373378,1563.223077,0.39766387,0.016129562,0.002812651,-0.002765226,0.016525384,0.013186354,0.012155926,0.001064569,-0.014712206,-0.018231123,-0.026165891,-0.033947913,-0.029307091,-0.000189961,-0.031838827,-0.01153657,-0.013861682,-0.031896904,0.002575248,-0.044724298,-0.051545872,-0.046948293,-0.030210751,0.002693835,0.006263308,-0.026795299,0.018877263,-0.006083088,0.007080095,-0.006430382,0.018187453,0.026360559,0.035632207,0.035450039,0.063625568
28,694.3531971,2095.462562,0.331360345,-0.012992864,0.003207298,-0.01735834,-0.001198751,-0.004060468,0.000489633,0.002917724,-0.000615024,0.014593655,0.015017137,0.054459768,0.189129816,0.328574915,0.218011128,0.386555982,0.307841576,0.388495708,0.210129718,0.381951441,0.371501157,0.373183068,0.372828921,0.240505819,0.245817551,0.262716738,0.247534303,0.354591942,0.371090324,0.368923542,0.210187629,0.372656112,0.205698976,0.216411468,0.209148876
29,592.9352418,1374.121747,0.431501243,0.006437689,0.023378043,0.01309949,0.001509201,0.001778425,0.00367549,0.017622451,-0.048083322,-0.01283261,-0.006584857,0.018603895,0.070449668,0.227426176,0.41989212,0.48198885,0.531858509,0.51435758,0.568046662,0.542883839,0.53393996,0.508833437,0.554103553,0.572662406,0.561688299,0.568455999,0.547593682,0.529358088,0.547460365,0.513878464,0.543286732,0.503583185,0.58887932,0.589816514,0.560445232
30,733.2820655,2414.376054,0.303714935,0.002147201,-0.005601274,0.011093553,-0.021904307,0.007791057,-0.01736258,-0.007300138,-0.008665323,-0.000172994,0.039974805,0.048693795,0.010482626,0.016066598,-0.123172992,0.006851625,-0.107934895,-0.019909162,-0.103474627,-0.035571399,-0.044692353,-0.038911098,-0.050024991,-0.146646211,-0.141662211,-0.141609165,-0.129434292,-0.037901276,-0.036644532,-0.06344128,-0.148805512,-0.056064134,-0.16020416,-0.124434328,-0.153419295
31,627.228041,1595.047123,0.393234803,-0.004734989,0.000852351,0.030268189,-0.011439185,-0.006806558,-0.002550997,0.005894521,-0.014207587,0.01505039,-0.012326134,-0.005158481,0.003978512,-0.028984902,0.037347843,0.011235873,-0.007757799,-0.017383479,0.002817649,-0.046999619,-0.034447128,-0.005150438,-0.03794466,0.025753179,-0.017867997,0.007305417,0.026960798,-0.053808301,-0.043069592,-0.053700976,0.035089839,-0.063670707,0.055722819,0.078295076,0.006669912
32,657.657005,1980.637986,0.332043013,-0.002096055,-0.010929167,-0.0044916,0.002226958,-0.016216929,-0.012767589,0.00638549,-0.001103834,0.016611038,0.022381688,0.024158058,0.043215648,0.048388145,0.008035135,0.067353693,0.015849075,0.046920407,0.010035894,0.057087894,0.055268487,0.070105514,0.076569041,0.002230327,-0.000687269,0.048634109,0.053019988,0.113688516,0.138243978,0.137656084,0.089925361,0.171795832,0.11437125,0.115600292,0.200059
33,450.1163166,985.4928113,0.456742364,0.007976671,0.007303061,-0.001075316,-0.00431878,-0.011391717,0.005759952,0.000593881,-0.020043559,0.001594944,0.013600863,0.030903237,0.070849712,0.099750719,0.228870954,0.220947167,0.272225633,0.259696882,0.270674127,0.208859418,0.158041291,0.141768192,0.065647213,0.098967566,0.086024377,0.019228585,0.047766648,-0.022271823,-0.00782629,0.050422269,0.174013305,0.145247625,0.225096282,0.216641769,0.224993885
34,730.1612958,1949.851201,0.374470265,-0.005468161,0.004668328,0.019636325,0.0119394,-0.000604736,0.011213652,0.010462022,-0.021558976,-0.008553789,-0.021734066,0.016650136,0.028328547,0.040862896,-0.015600085,0.041598994,0.011843005,0.048959479,0.007454435,0.08452873,0.0656143,0.107538592,0.099547595,0.018774719,0.059359439,0.081528562,0.116379225,0.239711402,0.279824224,0.344224349,0.269869819,0.34212377,0.275227258,0.258605223,0.25490814
35,774.5057511,2553.118125,0.303356803,-0.003653733,0.009277099,0.009143762,-0.005536374,-0.007442794,0.006225937,-0.016882901,0.010557568,-0.000626251,-0.001062314,0.122614083,0.395571031,0.539723638,0.355924386,0.555303194,0.381360561,0.557439705,0.341737387,0.523354215,0.525512554,0.51130726,0.503657112,0.292533737,0.348692798,0.189308199,0.354765962,0.504308788,0.491484405,0.48730762,0.252055061,0.447479399,0.183959711,0.251808355,0.193849049
36,346.9611071,1140.2787,0.304277461,0.015276584,0.000494075,-0.010882362,-0.011173321,-0.022592072,-0.029712789,-0.003829975,0.001268206,0.032327707,0.028823948,0.06053123,0.10693016,0.166603204,0.1168683,0.409929116,0.329170674,0.47480003,0.277039914,0.481165345,0.510873864,0.48607874,0.456618803,0.277548158,0.246833192,0.209984009,0.253911385,0.484308153,0.488467648,0.492229812,0.288398802,0.445163294,0.244423778,0.215387652,0.223803448
37,646.8757085,1597.284813,0.404984573,0.007188052,0.010627487,-0.000468164,-0.019340329,-0.005092357,-0.006139628,-0.026083367,-0.012189616,0.024858949,0.026638971,-0.0028015,-0.01298293,-0.015501543,0.061595758,-0.03899864,-0.019399824,-0.058183176,-0.01590103,-0.078736581,-0.099164021,-0.099049867,-0.115836207,-0.030884507,-0.055728219,-0.071160233,-0.066753841,-0.123901403,-0.15680896,-0.136262785,-0.09074069,-0.168428693,-0.087764995,-0.102784122,-0.079496562
38,602.8427882,1975.473129,0.30516375,-0.003822317,-0.016289999,0.009271663,-0.004326365,-0.009074874,-0.010800329,-0.004519014,0.003465482,0.013019049,0.023076704,0.029256342,0.042792526,0.050797371,-0.116034819,0.056515985,-0.055087183,0.044524351,-0.104045567,0.04152745,0.00991134,0.015751582,0.014919929,-0.09651382,-0.095169536,-0.152595669,-0.097226306,-0.001175569,0.021521387,0.042762008,-0.081561252,0.033925004,-0.095998633,-0.121446918,-0.10307256
39,575.8510355,1742.892556,0.330399618,0.012804956,0.009973098,-0.003034248,-1.28E-06,0.03562465,-0.015365776,0.007609229,-0.022465158,-0.023761302,-0.001384174,-0.005302194,-0.019979039,0.017979271,-0.034893356,0.024737209,0.010454824,0.006032761,-0.011663399,0.074292953,0.058679752,0.057164416,0.082000124,0.078819225,0.066625013,0.187879863,0.166997353,0.238307638,0.254372552,0.333734974,0.250330124,0.377597217,0.299148026,0.314929533,0.314040532
40,637.8036073,1686.696961,0.378137639,0.0209463,-0.005507987,-0.008131441,0.007745192,0.016867098,0.007042451,0.009575888,-0.029186888,-0.008452924,-0.010897688,-0.029224427,-0.002849423,0.00858867,0.042128,-0.016669301,0.014173612,-0.007596688,0.094585161,-0.009774435,0.020553399,0.046551969,0.020386678,0.082094092,0.125918695,0.253833843,0.31613815,0.301919957,0.298737484,0.276597899,0.281663189,0.204693399,0.245680035,0.222470198,0.203086751
41,565.1393383,1871.68236,0.301941906,-0.015187784,-0.012463399,-0.005041881,0.008179885,0.002108534,0.012669772,0.006145343,0.000376231,0.000265823,0.002947475,0.109582657,0.248497477,0.270535479,0.120786771,0.269043244,0.18079782,0.271939094,0.135530593,0.243013822,0.26270297,0.277259322,0.259060548,0.142210286,0.137010711,0.136653288,0.145992648,0.27280727,0.281336469,0.283307089,0.14166592,0.263429923,0.16321011,0.113305167,0.162112797
42,673.1373836,2147.388213,0.313467951,-0.004065057,-0.007169416,0.001932502,-0.016419355,0.000435817,0.005748196,-0.000471474,0.010023166,-0.001184076,0.011169698,0.004357556,0.006312317,0.000196287,-0.131805442,0.014558397,-0.118718976,-0.030493609,-0.115644972,-0.014426232,-0.024041048,0.004789919,-0.02932027,-0.174438663,-0.154382398,-0.167646222,-0.150723412,-0.015216284,-0.033459198,-0.05183512,-0.182155706,-0.040468007,-0.167692443,-0.122961309,-0.167037968
43,670.7367286,1855.664046,0.36145375,-0.010494047,0.020851503,-0.006939095,-0.006659007,-0.011669463,-0.005537578,-0.003607694,-0.022087323,0.015006239,0.031136466,0.058068462,0.018970277,0.051572598,0.067181088,0.17993076,0.250319973,0.348196761,0.391938313,0.486965886,0.514566497,0.545143429,0.513824074,0.428550042,0.430441844,0.479803316,0.446339817,0.53010639,0.489531283,0.521184827,0.428684616,0.490817532,0.367052468,0.390921049,0.308866354
44,592.7638441,1655.497841,0.358057757,-0.006792329,0.011859193,-0.029816529,-0.008710349,0.01720713,-0.010083152,0.007515404,-0.024707141,0.00939865,0.034129123,0.034306709,0.028921583,0.045953031,0.105709699,0.063987254,0.082127675,0.070173357,0.141928648,0.083303982,0.096757714,0.145438244,0.138777816,0.222340066,0.280723439,0.314300991,0.383702168,0.356187052,0.371546181,0.391535158,0.456313668,0.402152277,0.454842815,0.47025074,0.461304784
45,509.8698748,1348.572939,0.378081051,-0.115124867,-0.063175105,0.098768471,-0.116484346,-0.099682648,-0.075408319,-0.186744907,0.012539177,0.286749543,0.258563001,0.152762866,0.376966603,-0.013523143,0.248931316,0.013943411,0.125045055,0.307060963,0.519665399,0.232667637,0.30187431,0.354017693,0.832605668,0.340994203,0.424198165,0.676560639,0.380718147,0.561713307,0.441274468,0.480631761,0.631528416,0.964152278,0.908919771,0.693008645,0.393900709
46,494.1892802,1207.856818,0.409145582,-0.031379119,0.000139002,-0.015030989,-0.021726564,0.007770693,0.004436956,-0.004284206,-0.008493144,0.022294268,0.046273102,0.061729365,0.142395254,0.261104428,0.335266591,0.431170073,0.441874526,0.438368212,0.442515361,0.458443045,0.395023775,0.395312404,0.337684285,0.379512702,0.35568301,0.390509071,0.446406977,0.415819478,0.408765262,0.47468201,0.418444189,0.462062912,0.426217654,0.38616765,0.405031713
